reservation_id,Reserved_user,"
reservation_created_date
",inv_id,inv_name,inv_desc,Reservation_status,Reservation_status_comments,Reservation_expiry_date,Books,reserved_user_mail
,Aarav,,,,,Issued,please return the book by feb 1st,,item1,Aarav@gmail.com
,Anika,,,,,Issued,plz return on march,,item2,Anika@gmail.com
,Arjun,,,,,Issued,plz return on apr,,item3,Arjun@gmail.com
,Bhavya,,,,,Issued,plz return on apr,,item1,Bhavya@gmail.com
,Chaya,,,,,Issued,plz return on apr,,item2,Chaya@gmail.com
,Daksh,,,,,Issued,plz return on apr,,item3,Daksh@gmail.com
,Esha,,,,,Issued,plz return on apr,,item4,Esha@gmail.com
,Farhan,,,,,Issued,plz return on apr,,item5,Farhan@gmail.com
,Gauri,,,,,Issued,plz return on apr,,item6,Gauri@gmail.com
,Harsh,,,,,Issued,plz return on apr,,item7,Harsh@gmail.com
,Ishaan,,,,,Issued,plz return on apr,,item8,Ishaan@gmail.com
,Jaya,,,,,Issued,plz return on apr,,item9,Jaya@gmail.com
,Kabir,,,,,Issued,plz return on apr,,item10,Kabir@gmail.com
,Lavanya,,,,,Issued,plz return on apr,,item11,Lavanya@gmail.com
,Mohit,,,,,Issued,plz return on apr,,item12,Mohit@gmail.com
,Nisha,,,,,Issued,plz return on apr,,item13,Nisha@gmail.com
,Omkar,,,,,Issued,plz return on apr,,item14,Omkar@gmail.com
,Pooja,,,,,PENDING,plz return on apr,,iteam1,Pooja@gmail.com
,Qamar,,,,,PENDING,plz return on apr,,iteam2,Qamar@gmail.com
,Rishi,,,,,PENDING,plz return on apr,,iteam3,Rishi@gmail.com
,Saanvi,,,,,PENDING,plz return on apr,,iteam4,Saanvi@gmail.com
,Tanvi,,,,,PENDING,plz return on apr,,iteam5,Tanvi@gmail.com
,Utkarsh,,,,,PENDING,plz return on apr,,iteam6,Utkarsh@gmail.com
,Vaishnavi,,,,,PENDING,plz return on apr,,iteam7,Vaishnavi@gmail.com
,Yash,,,,,PENDING,plz return on apr,,item1,Yash@gmail.com
,Zara,,,,,PENDING,plz return on apr,,item2,Zara@gmail.com
,Dev,,,,,PENDING,plz return on apr,,item3,Dev@gmail.com
,Kavya,,,,,PENDING,plz return on apr,,item4,Kavya@gmail.com
,Nikhil,,,,,PENDING,plz return on apr,,item5,Nikhil@gmail.com
,Riya,,,,,PENDING,plz return on apr,,item1,Riya@gmail.com
,Aryan,,,,,PENDING,plz return on apr,,item2,Aryan@gmail.com
,Mira,,,,,PENDING,plz return on apr,,item3,Mira@gmail.com
,Ved,,,,,PENDING,plz return on apr,,item4,Ved@gmail.com
,Myra,,,,,PENDING,plz return on apr,,item5,Myra@gmail.com
,Alok,,,,,PENDING,plz return on apr,,item6,Alok@gmail.com
,Niharika,,,,,PENDING,plz return on apr,,item7,Niharika@gmail.com
,Devansh,,,,,PENDING,plz return on apr,,item8,Devansh@gmail.com
,Prisha,,,,,PENDING,plz return on apr,,item9,Prisha@gmail.com
,Hrithik,,,,,PENDING,plz return on apr,,item10,Hrithik@gmail.com
,Aanya,,,,,PENDING,plz return on apr,,item11,Aanya@gmail.com
,Arnav,,,,,PENDING,plz return on apr,,item12,Arnav@gmail.com
,Ananya,,,,,PENDING,plz return on apr,,item1,Ananya@gmail.com
,Aditya,,,,,PENDING,plz return on apr,,item2,Aditya@gmail.com
,Ishika,,,,,PENDING,plz return on apr,,item3,Ishika@gmail.com
,Karan,,,,,PENDING,plz return on apr,,item4,Karan@gmail.com
,Navya,,,,,PENDING,plz return on apr,,item5,Navya@gmail.com
,Rohan,,,,,PENDING,plz return on apr,,item6,Rohan@gmail.com
,Tanisha,,,,,PENDING,plz return on apr,,item7,Tanisha@gmail.com
,Vihaan,,,,,PENDING,plz return on apr,,item8,Vihaan@gmail.com
,Khushi,,,,,PENDING,plz return on apr,,item9,Khushi@gmail.com
,Vivaan,,,,,PENDING,plz return on apr,,item10,Vivaan@gmail.com
,Diya,,,,,PENDING,plz return on apr,,item11,Diya@gmail.com
,Aadi,,,,,PENDING,plz return on apr,,item12,Aadi@gmail.com
,Aisha,,,,,PENDING,plz return on apr,,item1,Aisha@gmail.com
,Krish,,,,,PENDING,plz return on apr,,item2,Krish@gmail.com
,Leela,,,,,PENDING,plz return on apr,,item3,Leela@gmail.com
,Rajat,,,,,PENDING,plz return on apr,,item4,Rajat@gmail.com
,Sanjana,,,,,PENDING,plz return on apr,,item5,Sanjana@gmail.com
,Virat,,,,,PENDING,plz return on apr,,item6,Virat@gmail.com
,Swara,,,,,PENDING,plz return on apr,,item7,Swara@gmail.com
,Isha,,,,,PENDING,plz return on apr,,item8,Isha@gmail.com
,Arya,,,,,PENDING,plz return on apr,,item9,Arya@gmail.com
,Aarush,,,,,PENDING,plz return on apr,,item10,Aarush@gmail.com
,Zoya,,,,,PENDING,plz return on apr,,item11,Zoya@gmail.com
,Samar,,,,,"""PENDING""",plz return on apr,,item12,Samar@gmail.com
,Anika,,,,,"""PENDING""",plz return on apr,,"item1,item2",Anika@gmail.com
